iter	Passed	Remaining
941	7837	482
942	7843	474
943	7851	465
944	7858	457
945	7865	448
946	7872	440
947	7878	432
948	7885	423
949	7891	415
950	7897	406
951	7904	398
952	7910	390
953	7917	381
954	7923	373
955	7930	364
956	7937	356
957	7945	348
958	7953	340
959	7965	331
960	7978	323
961	7990	315
962	8001	307
963	8010	299
964	8021	290
965	8031	282
966	8039	274
967	8046	266
968	8054	257
969	8062	249
970	8070	241
971	8081	232
972	8090	224
973	8100	216
974	8110	207
975	8119	199
976	8126	191
977	8135	183
978	8146	174
979	8158	166
980	8171	158
981	8179	149
982	8187	141
983	8194	133
984	8200	124
985	8214	116
986	8228	108
987	8245	100
988	8253	91
989	8263	83
990	8274	75
991	8281	66
992	8288	58
993	8296	50
994	8303	41
995	8311	33
996	8318	25
997	8326	16
998	8333	8
999	8340	0
